model,qformat,tp,mps_percentage,batch_size,input_len,output_len,seq_len,prefill_time,decode_time,ttft,tpot,e2e
llama-3-8b,qoq,1,100,1,256,256,512,0.032421083189547,2.049698524735868,0.0324235200881958,0.0080380334303367,2.082119607925415
llama-3-8b,qoq,1,100,2,256,256,512,0.0428442120552063,2.074882388114929,0.0428461909294128,0.008136793678882,2.117726600170136
llama-3-8b,qoq,1,100,4,256,256,512,0.0620723081752654,2.104783462174237,0.0620759546756744,0.0082540527928401,2.1668557703495024
llama-3-8b,qoq,1,100,8,256,256,512,0.1033500180579718,2.13060447415337,0.103353276848793,0.0083553116633465,2.2339544922113417
llama-3-8b,qoq,1,100,16,256,256,512,0.185010596457869,2.2711811593733726,0.185016156733036,0.0089065927818563,2.4561917558312416
llama-3-8b,qoq,1,100,32,256,256,512,0.345769068133086,2.518707491923124,0.3457717403769493,0.0098772842820514,2.8644765600562097
llama-3.1-70b,awq,1,20,1,256,256,512,0.4778592311777174,16.16289707645774,0.4788657903671264,0.0633839101037558,16.641566109657287
llama-3.1-70b,awq,1,40,1,256,256,512,0.2421431472525,9.092374570062384,0.2430100917816162,0.0356563708629897,9.335351753234864
llama-3.1-70b,awq,1,50,1,256,256,512,0.1936528275255113,7.68705947115086,0.1945889472961425,0.0301453312594151,7.881590342521667
llama-3.1-70b,awq,1,60,1,256,256,512,0.1656746102496981,6.817647751467303,0.1666102409362793,0.0267358735351658,6.984234857559204
llama-3.1-70b,awq,1,80,1,256,256,512,0.1280106124933809,5.876286227768287,0.128924536705017,0.0230442597167383,6.005215668678284
llama-3.1-70b,awq,1,100,1,256,256,512,0.1098981251940131,5.493342863908038,0.1108396291732788,0.0215425210349334,5.6042314052581785
llama-3.1-70b,awq,1,20,2,256,256,512,0.5506936083314941,16.46765289157629,0.7665186762809754,0.064579030947358,17.233978152275085
llama-3.1-70b,awq,1,40,2,256,256,512,0.2587494067847729,9.3320041120518,0.3814199924468994,0.0365960945570658,9.71332207918167
llama-3.1-70b,awq,1,50,2,256,256,512,0.2059358385158702,7.83858943877276,0.3035236597061157,0.0307395664265598,8.142018139362335
llama-3.1-70b,awq,1,60,2,256,256,512,0.1911134433001279,6.930878042639233,0.2666013360023498,0.0271799138927028,7.197435998916626
llama-3.1-70b,awq,1,80,2,256,256,512,0.1592589838197455,6.016355605237186,0.2114583253860473,0.023593551393087,6.227639043331147
llama-3.1-70b,awq,1,100,2,256,256,512,0.1487044263863936,5.5605467213783415,0.1878153562545776,0.0218060655740327,5.748281610012055
llama-3.1-70b,awq,1,20,4,256,256,512,1.2242424174095503,16.71038630489493,1.5833015024662018,0.0655309266858624,18.293407064676284
llama-3.1-70b,awq,1,40,4,256,256,512,0.5680314563913271,9.399288112670185,0.7740521550178527,0.0368599533830203,10.17315456867218
llama-3.1-70b,awq,1,50,4,256,256,512,0.4803287296439521,7.900173485826235,0.6308392405509948,0.0309810724934362,8.530837345123292
llama-3.1-70b,awq,1,60,4,256,256,512,0.3997054187231697,7.0616797022870745,0.5323275446891784,0.0276928615775963,7.59384319782257
llama-3.1-70b,awq,1,80,4,256,256,512,0.3336217664415016,6.06821390746627,0.4302796304225921,0.0237969172841814,6.498386442661285
llama-3.1-70b,awq,1,100,4,256,256,512,0.2736376478685997,5.680823858606163,0.3591965496540069,0.0222777406219849,6.039861196279526
llama-3.1-70b,awq,1,20,8,256,256,512,2.9358309546893,16.96397308660671,3.383928301930428,0.0665253846533596,20.34745083451271
llama-3.1-70b,awq,1,40,8,256,256,512,1.4765040730533656,9.622607133362909,1.7048669040203095,0.0377357142484819,11.327180397510528
llama-3.1-70b,awq,1,50,8,256,256,512,1.1680373482464348,7.972052464715671,1.349818816781044,0.0312629508420222,9.321608340740204
llama-3.1-70b,awq,1,60,8,256,256,512,1.0113218066573608,7.151973676448688,1.1572052717208865,0.0280469555939164,8.30882830619812
llama-3.1-70b,awq,1,80,8,256,256,512,0.794456483720569,6.213841398066142,0.9147668778896332,0.0243680054826123,7.128392407298088
llama-3.1-70b,awq,1,100,8,256,256,512,0.6536795397114474,5.825210248451913,0.7770139038562774,0.0228439617586349,6.601955324411392
llama-3.1-70b,awq,1,20,16,256,256,512,6.703212707012426,19.043396336052684,7.152110038697719,0.0746799856315791,26.19486034065485
llama-3.1-70b,awq,1,40,16,256,256,512,3.249233214254491,10.725617243471788,3.5354223147034647,0.0420612440920462,14.26054972410202
llama-3.1-70b,awq,1,50,16,256,256,512,2.620214439410484,8.810170953639318,2.8170238927006723,0.0345496900142718,11.62658447176218
llama-3.1-70b,awq,1,60,16,256,256,512,2.2261080777010647,7.835075442944071,2.394630365073681,0.030725786050761,10.229150559008122
llama-3.1-70b,awq,1,80,16,256,256,512,1.7750180640839972,6.639561806453275,1.905479720234871,0.0260374972802089,8.544588679075241
llama-3.1-70b,awq,1,100,16,256,256,512,1.5631045351881767,6.073568961236743,1.684909315407276,0.023817917495046,7.758016335964203
llama-3.1-70b,awq,1,20,32,256,256,512,14.11479692904104,23.18306222843239,14.62080337330699,0.0909139695232642,37.80280763208866
llama-3.1-70b,awq,1,40,32,256,256,512,7.079604230371478,12.702834812257787,7.337521706521511,0.0498150384794423,20.03932941406965
llama-3.1-70b,awq,1,50,32,256,256,512,5.60540587437863,10.454169227468082,5.792907951027155,0.0409967420685022,16.24597123488784
llama-3.1-70b,awq,1,60,32,256,256,512,4.755636643618345,9.348851176560856,4.916521052271127,0.0366621614767092,14.26435600221157
llama-3.1-70b,awq,1,80,32,256,256,512,3.746050559998548,7.809686870798759,3.892361190915108,0.0306262230227402,11.700990530103445
llama-3.1-70b,awq,1,100,32,256,256,512,3.323805589179392,7.005127226561308,3.4729588121175765,0.0274710871629855,10.477063029259444
llama-3.1-70b,awq,4,20,1,256,256,512,0.1428768490441143,5.969969411147758,0.1470929145812988,0.023411644749599,6.113700580596924
llama-3.1-70b,awq,4,40,1,256,256,512,0.0828679896425455,6.025605835439637,0.0841938018798828,0.0236298268056456,6.1095240116119385
llama-3.1-70b,awq,4,50,1,256,256,512,0.0677230295259505,6.03481841259636,0.0686728000640869,0.0236659545592014,6.103369402885437
llama-3.1-70b,awq,4,60,1,256,256,512,0.0621507680043578,5.912332213670015,0.0631066560745239,0.0231856165241961,5.97538149356842
llama-3.1-70b,awq,4,80,1,256,256,512,0.0512934552039951,5.953945124289021,0.0543244838714599,0.0233488044089765,6.006088781356811
llama-3.1-70b,awq,4,100,1,256,256,512,0.0450086023658514,6.002515157312155,0.0470696926116943,0.0235392751267143,6.048375821113586
llama-3.1-70b,awq,4,20,2,256,256,512,0.144474823330529,6.1881329783704135,0.2137105345726013,0.0242671881504722,6.401421797275543
llama-3.1-70b,awq,4,40,2,256,256,512,0.0858084724517539,5.947683012788184,0.1210502624511718,0.0233242471089732,6.068430054187775
llama-3.1-70b,awq,4,50,2,256,256,512,0.0838188404217362,5.823494674707763,0.115172266960144,0.0228372340184618,5.934715986251831
llama-3.1-70b,awq,4,60,2,256,256,512,0.0590734371682628,5.927291350369342,0.0880185723304748,0.0232442798053699,6.014797306060791
llama-3.1-70b,awq,4,80,2,256,256,512,0.0492139091948047,6.115201003407128,0.0745041012763977,0.0239811804055181,6.188768196105957
llama-3.1-70b,awq,4,100,2,256,256,512,0.0456324317259714,5.941734470822849,0.065868866443634,0.0233009194934229,6.006671667098999
llama-3.1-70b,awq,4,20,4,256,256,512,0.3365027559106238,5.999662357498892,0.4395541965961456,0.0235280876764662,6.438895446062088
